Red Value, IR Value
-16323,-15481
-16316,-15444
-16345,-15470
-16337,-15448
-16384,-15517
-16411,-15516
-16518,-15592
-16558,-15623
-16675,-15729
-16760,-15789
-16872,-15891
-16896,-15883
-16919,-15904
-16872,-15851
-16835,-15853
-16811,-15822
-16772,-15832
-16716,-15766
-16638,-15747
-16609,-15724
-16589,-15727
-16560,-15699
-16557,-15687
-16523,-15666
-16503,-15673
-16496,-15656
-16512,-15646
-16492,-15591
-16512,-15569
-16497,-15511
-16526,-15531
-16593,-15536
-16724,-15599
-16808,-15596
-16893,-15648
-16961,-15670
-16986,-15712
-16960,-15679
-16933,-15673
-16845,-15645
-16776,-15651
-16736,-15603
-16602,-15565
-16509,-15520
-16453,-15534
-16400,-15516
-16370,-15570
-16369,-15571
-16373,-15615
-16370,-15594
-16399,-15627
-16368,-15570
-16359,-15603
-16373,-15565
-16393,-15572
-16370,-15538
-16374,-15546
-16396,-15526
-16432,-15542
-16439,-15505
-16474,-15521
-16469,-15487
-16485,-15512
-16501,-15515
-16540,-15548
-16520,-15527
-16549,-15564
-16532,-15532
-16528,-15594
-16528,-15573
-16551,-15624
-16527,-15602
-16547,-15617
-16514,-15598
-16494,-15627
-16490,-15606
-16490,-15646
-16462,-15593
-16430,-15616
-16441,-15617
-16424,-15642
-16408,-15621
-16430,-15632
-16410,-15617
-16410,-15651
-16430,-15642
-16453,-15675
-16442,-15635
-16417,-15661
-16431,-15655
-16438,-15658
-16425,-15612
-16417,-15584
-16372,-15533
-16343,-15508
-16343,-15460
-16336,-15460
-16316,-15408
-16331,-15421
-16302,-15377
-16281,-15424
-16268,-15418
-16282,-15452
-16225,-15415
-16207,-15452
-16220,-15453
-16219,-15469
-16223,-15443
-16251,-15479
-16229,-15449
-16224,-15480
-16242,-15473
-16255,-15500
-16245,-15481
-16263,-15484
-16222,-15445
-16205,-15477
-16219,-15457
-16227,-15468
-16208,-15440
-16218,-15443
-16186,-15413
-16170,-15448
-16180,-15431
-16183,-15463
-16167,-15432
-16156,-15460
-16168,-15462
-16171,-15497
-16155,-15475
-16181,-15502
-16148,-15489
-16153,-15523
-16162,-15499
-16178,-15536
-16166,-15493
-16175,-15513
-16152,-15495
-16146,-15511
-16162,-15516
-16159,-15541
-16152,-15513
-16184,-15546
-16145,-15523
-16142,-15554
-16168,-15542
-16177,-15579
-16163,-15542
-16150,-15552
-16153,-15511
-16149,-15484
-16110,-15432
-16108,-15376
-16068,-15304
-16051,-15317
-16054,-15284
-16058,-15290
-16040,-15255
-16035,-15278
-16041,-15275
-16064,-15302
-16047,-15286
-16063,-15313
-16056,-15284
-16029,-15316
-16055,-15312
-16070,-15341
-16056,-15321
-16084,-15354
-16053,-15313
-16073,-15377
-16076,-15341
-16096,-15375
-16082,-15350
-16063,-15370
-16080,-15360
-16080,-15381
-16068,-15360
-16083,-15377
-16050,-15338
-16060,-15400
-16068,-15383
-16084,-15419
-16073,-15391
-16064,-15416
-16090,-15405
-16095,-15429
-16078,-15415
-16096,-15450
-16083,-15416
-16071,-15442
-16083,-15442
-16091,-15470
-16102,-15444
-16123,-15457
-16100,-15438
-16103,-15463
-16113,-15455
-16131,-15479
-16117,-15458
-16136,-15475
-16125,-15442
-16117,-15476
-16126,-15464
-16143,-15500
-16106,-15455
-16102,-15495
-16116,-15483
-16113,-15501
-16100,-15445
-16097,-15429
-16050,-15353
-16019,-15331
-16020,-15302
-16033,-15294
-16010,-15261
-15996,-15270
-16009,-15263
-16015,-15294
-16014,-15259
-16037,-15290
-16007,-15268
-16020,-15299
-16033,-15287
-16063,-15307
-16049,-15279
-16047,-15301
-16052,-15295
-16068,-15325
-16056,-15313
-16089,-15346
-16056,-15322
-16042,-15355
-16070,-15353
-16076,-15386
-16052,-15364
-16082,-15396
-16061,-15369
-16054,-15427
-16075,-15425
-16091,-15462
-16090,-15439
-16119,-15480
-16090,-15453
-16088,-15501
-16100,-15482
-16125,-15513
-16106,-15481
-16097,-15506
-16112,-15495
-16121,-15519
-16114,-15506
-16151,-15536
-16117,-15505
-16113,-15530
-16124,-15528
-16136,-15562
-16137,-15533
-16160,-15560
-16129,-15526
-16123,-15557
-16139,-15554
-16145,-15590
-16121,-15582
-16163,-15645
-16142,-15643
-16152,-15730
-16166,-15749
-16211,-15838
-16191,-15820
-16175,-15816
-16166,-15814
-16177,-15799
-16146,-15751
-16150,-15743
-16116,-15690
-16102,-15712
-16108,-15686
-16116,-15704
-16109,-15682
-16097,-15690
-16114,-15699
-16114,-15711
-16110,-15686
-16139,-15708
